"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Measure Name","Achievement Measure Rate","Kt/V Comprehensive Measure Score","Kt/V Comprehensive Reason for No Score (See Footnotes File)","State Average Kt/V Comprehensive Measure Score","National Average Kt/V Comprehensive Measure Score"
"RAI DEANS BRIDGE","112762","-","2841 DEANS BRIDGE ROAD","AUGUSTA","GA","30906","6","KT/V COMPREHENSIVE","  97.56%","8","-","6","7"
"FMC CUMMING","112763","-","1070 BUFORD HIGHWAY","CUMMING","GA","30041","6","KT/V COMPREHENSIVE","  99.76%","10","-","6","7"
"NORTHWEST GEORGIA RENAL CENTER","112765","-","260 HOSPITAL ROAD","CANTON","GA","30114","6","KT/V COMPREHENSIVE","  98.25%","9","-","6","7"
"FMC BULLOCH COUNTY","112766","-","1355 BRAMPTON AVE","STATESBORO","GA","30458","6","KT/V COMPREHENSIVE","  95.08%","5","-","6","7"
"FMC DIALYSIS SERVICES OF HOUSTON COUNTY","112767","-","816 DUKE AVENUE","WARNER ROBINS","GA","31093","6","KT/V COMPREHENSIVE","  96.17%","7","-","6","7"
"FMS TOOMBS COUNTY DIALYSIS","112768","-","105 MELVIN PAGE DR","VIDALIA","GA","30474","6","KT/V COMPREHENSIVE","  95.43%","6","-","6","7"
"HOGANSVILLE DIALYSIS CLINIC","112769","-","1002 WILLIAMS ST","HOGANSVILLE","GA","30230","6","KT/V COMPREHENSIVE","  97.65%","8","-","6","7"
"US RENAL CARE,INC","112770","-","105 PROFESSIONAL PLACE","CALHOUN","GA","30701","6","KT/V COMPREHENSIVE","  95.90%","6","-","6","7"
"DAVITA SOUTHERN CRESCENT DIALYSIS CENTER","112771","-","275 UPPER RIVERDALE RD SW STE B","RIVERDALE","GA","30274","6","KT/V COMPREHENSIVE","  95.34%","6","-","6","7"
"FMCNA VILLA RICA","112772","-","130 PROSPECTOR DR","VILLA RICA","GA","30180","6","KT/V COMPREHENSIVE","  98.46%","9","-","6","7"
"RAI CARE CENTER PATTERSON","112773","-","1115 SOUTH PATTERSON STREET","VALDOSTA","GA","31601","6","KT/V COMPREHENSIVE","  95.70%","6","-","6","7"
"SPIVEY PERITONEAL AND HOME DIALYSIS CENTER","112774","-","7444 HANNOVER PARKWAY SUITE 150","STOCKBRIDGE","GA","30281","6","KT/V COMPREHENSIVE","  95.19%","7","-","6","7"
"DCI BOXWOOD PLACE","112775","-","1711 BOXWOOD PLACE","COLUMBUS","GA","31906","6","KT/V COMPREHENSIVE","  94.27%","4","-","6","7"
"US RENAL CARE GRAY DIALYSIS","112776","-","1002 BOULDER DRIVE","GRAY","GA","31032","6","KT/V COMPREHENSIVE","  96.46%","7","-","6","7"
"MOUNTAIN PARK DIALYSIS","112777","-","5235 MEMORIAL DR","STONE MOUNTAIN","GA","30083","6","KT/V COMPREHENSIVE","  99.27%","10","-","6","7"
"MEDLOCK BRIDGE DIALYSIS","112778","-","10680 MEDLOCK BRIDGE RD  STE 103","DULUTH","GA","30097","6","KT/V COMPREHENSIVE","  97.54%","8","-","6","7"
"NORTH GWINNETT DIALYSIS","112779","-","185 OLD PEACHTREE ROAD NW","SUWANEE","GA","30024","6","KT/V COMPREHENSIVE","  99.63%","10","-","6","7"
"FMCNA DIALYSIS SERVICES OF DECATUR","112781","-","2721 IRWIN WAY","DECATUR","GA","30030","6","KT/V COMPREHENSIVE","  96.14%","7","-","6","7"
"FMCNA SANDY SPRINGS","112782","-","7840 ROSWELL RD BLDG 200 STE 210","ATLANTA","GA","30350","6","KT/V COMPREHENSIVE","  97.17%","8","-","6","7"
"NRA PALMETTO","112783","-","500 WALNUT WAY","PALMETTO","GA","30268","6","KT/V COMPREHENSIVE","  99.02%","10","-","6","7"
"NORTH HENRY DIALYSIS","112784","-","3546 HWY 138 SE","STOCKBRIDGE","GA","30281","6","KT/V COMPREHENSIVE","  95.19%","5","-","6","7"
"FRESENIUS MEDICAL CARE SOUTH DEKALB/ROCKDALE","112785","-","6085 HILLANDALE DRIVE","LITHONIA","GA","30058","6","KT/V COMPREHENSIVE","  92.85%","3","-","6","7"
"FRESENIUS MEDICAL CARE RIVER CITY","112786","-","2443 BROOKSTONE CENTER PARKWAY SUITE B","COLUMBUS","GA","31904","6","KT/V COMPREHENSIVE","  96.46%","7","-","6","7"
"UNION CITY DIALYSIS","112788","-","6851 SHANNON PARKWAY SUITE 200","UNION CITY","GA","30291","6","KT/V COMPREHENSIVE","  98.11%","9","-","6","7"
"ATHENS EAST DIALYSIS","112789","-","2026 S MILLEDGE AVE, STREET A2","ATHENS","GA","30605","6","KT/V COMPREHENSIVE","  96.81%","7","-","6","7"
"SOUTHSTAR ADAMSVILLE DIALYSIS","112790","-","3651 BAKERS FERRY RD SW","ATLANTA","GA","30331","6","KT/V COMPREHENSIVE","  99.28%","10","-","6","7"
"NRA - VALDOSTA (NORTH) GEORGIA","112791","-","4358 KINGS WAY","VALDOSTA","GA","31602","6","KT/V COMPREHENSIVE","  98.98%","10","-","6","7"
"BIO-MEDICAL APPLICATIONS OF GEORGIA, INC.","112792","-","14 CHEROKEE RD SUITE A","CEDARTOWN","GA","30125","6","KT/V COMPREHENSIVE","  96.31%","7","-","6","7"
"FRESENIUS MEDICAL CARE EVANS","112793","-","696 INDUSTRIAL PARK DR","EVANS","GA","30809","6","KT/V COMPREHENSIVE","  95.56%","6","-","6","7"
"TIFTON DIALYSIS","112794","-","624 LOVE AVE","TIFTON","GA","31794","6","KT/V COMPREHENSIVE","  93.26%","3","-","6","7"
"BIOMEDICAL APPLICATIONS OF GEORGIA, INC","112795","-","12541 HIGHWAY 27","SUMMERVILLE","GA","30747","6","KT/V COMPREHENSIVE","  61.06%","0","-","6","7"
"CORDELE DIALYSIS","112796","-","1013 EAST 16TH AVE","CORDELE","GA","31015","6","KT/V COMPREHENSIVE","  97.35%","8","-","6","7"
"FRESENIUS MEDICAL CARE DIALYSIS OF GOLDEN ISLES","112797","-","475 GATEWAY CENTER BLVD","BRUNSWICK","GA","31525","6","KT/V COMPREHENSIVE","  98.70%","10","-","6","7"
"LAGRANGE DIALYSIS CLINIC","112798","-","140 OLD MILL ROAD","LAGRANGE","GA","30241","6","KT/V COMPREHENSIVE","  94.00%","4","-","6","7"
"SOUTH HENRY DIALYSIS CENTER","112799","-","1095 HENRY PARKWAY CONNECTOR","MCDONOUGH","GA","30252","6","KT/V COMPREHENSIVE","  91.67%","1","-","6","7"
"FRESENIUS MEDICAL CARE HABERSHAM","112800","-","735 N HISTORIC HWY 441","DEMOREST","GA","30535","6","KT/V COMPREHENSIVE","  99.84%","10","-","6","7"
"DIALYSIS CLINIC INC CLARK HOME TRAINING CENTER","112801","-","1210 N JEFFERSON STREET","ALBANY","GA","31701","6","KT/V COMPREHENSIVE","  92.96%","5","-","6","7"
"FRESENIUS MEDICAL CARE RINCON","112802","-","604 TOWNE PARK WEST","RINCON","GA","31326","6","KT/V COMPREHENSIVE","  99.62%","10","-","6","7"
"KIDNEY DIALYSIS CENTER LLC","112803","-","640 MARTIN LUTHER KING JR BLVD","MACON","GA","31201","6","KT/V COMPREHENSIVE","  96.41%","7","-","6","7"
"NEPHRON CORPORATION","112804","-","710 BREEDLOVE DR","MONROE","GA","30655","6","KT/V COMPREHENSIVE","  94.88%","5","-","6","7"
"DAVITA SNELLVILLE DIALYSIS","112806","-","2135 MAIN STREET EAST SUITE 130","SNELLVILLE","GA","30078","6","KT/V COMPREHENSIVE","  94.42%","5","-","6","7"
"ARBOR PLACE DIALYSIS","112807","-","9559 HIGHWAY 5 STE #1","DOUGLASVILLE","GA","30135","6","KT/V COMPREHENSIVE","  96.79%","8","-","6","7"
"NEPHRON CORPORATION","112809","-","3770 HOWELL FERRY ROAD","DULUTH","GA","30096","6","KT/V COMPREHENSIVE","  79.35%","1","-","6","7"
"KENNESTONE DIALYSIS","112810","-","200 COBB PKWY N BUILDING 300 STE 318","MARIETTA","GA","30062","6","KT/V COMPREHENSIVE","  95.22%","5","-","6","7"
"POOLER DIALYSIS","112811","-","54 TRADERS WAY","POOLER","GA","31322","6","KT/V COMPREHENSIVE","  95.91%","6","-","6","7"
"SHAMROCK DIALYSIS","112813","-","1016 CLAXTON DAIRY ROAD STE 1A","DUBLIN","GA","31021","6","KT/V COMPREHENSIVE","  96.96%","8","-","6","7"
"MADISON KIDNEY CENTER","112814","-","1311 ATLANTA HIGHWAY SUITE A","MADISON","GA","30650","6","KT/V COMPREHENSIVE","  94.67%","6","-","6","7"
"PEACHTREE CITY DIALYSIS","112815","-","2830 W HWY 54 2830 W HWY 54","PEACHTREE CITY","GA","30269","6","KT/V COMPREHENSIVE","  96.97%","8","-","6","7"
"TUCKER DIALYSIS","112816","-","4434 HUGH HOWELL RD","TUCKER","GA","30084","6","KT/V COMPREHENSIVE","  90.23%","3","-","6","7"
"SATILLA RIVER DIALYSIS","112817","-","308 CARSWELL AVE","WAYCROSS","GA","31501","6","KT/V COMPREHENSIVE","  97.18%","8","-","6","7"
"COMMERCE KIDNEY CENTER","112818","-","592 RIDGE WAY RD STE A.","COMMERCE","GA","30529","6","KT/V COMPREHENSIVE","  94.29%","4","-","6","7"
"FMC CROSSROADS","112819","-","1719 MAGNOLIA WAY","AUGUSTA","GA","30919","6","KT/V COMPREHENSIVE","  99.01%","10","-","6","7"
"DAVITA NORTH ATLANTA HOME TRAINING","112820","-","980 JOHNSON FERRY RD SUITE 410 A","ATLANTA","GA","30342","6","KT/V COMPREHENSIVE","  87.92%","6","-","6","7"
"ADAIR DIALYSIS","112821","-","1686 PRINCE AVE","ATHENS","GA","30606","6","KT/V COMPREHENSIVE","  96.30%","7","-","6","7"
"HAPEVILLE DIALYSIS CENTER","112822","-","800 VIRGINIA AVE STE 100","HAPEVILLE","GA","30354","6","KT/V COMPREHENSIVE","  97.13%","8","-","6","7"
"EMORY DIALYSIS LLC","112823","-","2841 GREENBRIAR PKWY SW SUITE X126","ATLANTA","GA","30331","6","KT/V COMPREHENSIVE","  97.87%","9","-","6","7"
"EMORY DIALYSIS LLC","112824","-","610 NORTHSIDE DRIVE NW","ATLANTA","GA","30318","6","KT/V COMPREHENSIVE","  96.11%","7","-","6","7"
"DAVITA AUSTELL","112825","-","3642 MARATHON CIRCLE","AUSTELL","GA","30106","6","KT/V COMPREHENSIVE","  98.68%","10","-","6","7"
"EMORY DIALYSIS LLC","112826","-","2726 CANDLER ROAD","DECATUR","GA","30034","6","KT/V COMPREHENSIVE","  95.29%","6","-","6","7"
"NEPHRON CORPORATION","112827","-","2290 OAK ROAD","SNELLVILLE","GA","30078","6","KT/V COMPREHENSIVE","  67.09%","0","-","6","7"
"CONYERS DIALYSIS","112828","-","1501 MILSTEAD RD NE","CONYERS","GA","30012","6","KT/V COMPREHENSIVE","  96.10%","7","-","6","7"
"COLONIAL SPRINGS DIALYSIS","112829","-","2840 EAST WEST CONNECTOR SUITE 350","AUSTELL","GA","30106","6","KT/V COMPREHENSIVE","  96.82%","7","-","6","7"
"FRESENIUS MEDICAL CARE HIRAM","112830","-","3919 ATLANTA HIGHWAY","HIRAM","GA","30141","6","KT/V COMPREHENSIVE","  97.86%","9","-","6","7"
"MAGNOLIA OAKS DIALYSIS","112831","-","2377 HWY 196 WEST","HINESVILLE","GA","31313","6","KT/V COMPREHENSIVE","  95.27%","6","-","6","7"
"DSI MACON PINE STREET DIALYSIS","112832","-","745 PINE STREET","MACON","GA","31210","6","KT/V COMPREHENSIVE","  95.02%","5","-","6","7"
"DSI MILLEDGEVILLE DIALYSIS","112833","-","411 NORTH JEFFERSON STREET","MILLEDGEVILLE","GA","31061","6","KT/V COMPREHENSIVE","  95.99%","6","-","6","7"
"FRESENIUS KIDNEY CARE MABLETON","112834","-","1380 VETERANS MEMORIAL HWY SW","MABLETON","GA","30126","6","KT/V COMPREHENSIVE","  84.24%","4","-","6","7"
"FMC HONEY CREEK","112835","-","1901 HONEY CREEK COMMONS","CONYERS","GA","30013","6","KT/V COMPREHENSIVE","  96.93%","8","-","6","7"
"RAI CARE CENTERS OF STOCKBRIDGE","112836","-","500 EAGLES LANDING PKWY","STOCKBRIDGE","GA","30281","6","KT/V COMPREHENSIVE","  93.93%","4","-","6","7"
"NEPHRON CORPORATION","112837","-","6060 SINGLETON ROAD SUITE A","NORCROSS","GA","30093","6","KT/V COMPREHENSIVE","  66.11%","0","-","6","7"
"RAI CARE CENTERS FAYETTEVILLE","112838","-","1240 HWY 54 WEST STE 408","FAYETTEVILLE","GA","30215","6","KT/V COMPREHENSIVE","  98.91%","10","-","6","7"
"RENAL CARE PARTNERS OF CUMMING","112839","-","1370 BUFORD HIGHWAY STE 110","CUMMING","GA","30041","6","KT/V COMPREHENSIVE","  95.17%","5","-","6","7"
"NORTH CARROLLTON DIALYSIS","112840","-","195 PARKWOOD CIR","CARROLLTON","GA","30117","6","KT/V COMPREHENSIVE","  99.40%","10","-","6","7"
"MCAFEE DIALYSIS","112841","-","1987 CANDLER RD SUITE C","DECATUR","GA","30032","6","KT/V COMPREHENSIVE","  98.29%","9","-","6","7"
"MID ATLANTA HOME DIALYSIS","112842","-","418 DECATUR ST SE, STE B","ATLANTA","GA","30312","6","KT/V COMPREHENSIVE","No Rate","No Score","1","6","7"
"LAKE HARTWELL KIDNEY CENTER","112843","-","98 ARTHUR STREET","HARTWELL","GA","30643","6","KT/V COMPREHENSIVE","  96.26%","8","-","6","7"
"DUBLIN DIALYSIS CENTER","112844","-","2400 BELLEVUE RD, STE 29 A","DUBLIN","GA","31021","6","KT/V COMPREHENSIVE","  98.50%","9","-","6","7"
"RENAL CARE PARTNERS OF ROSWELL","112845","-","11660 ALPHARETTA HWY, SUITE 650","ROSWELL","GA","30076","6","KT/V COMPREHENSIVE","  96.32%","7","-","6","7"
"LAKE OCONEE DIALYSIS","112846","-","1000 COWLES CLINIC WAY, SUITE S-100","GREENSBORO","GA","30642","6","KT/V COMPREHENSIVE","  93.89%","5","-","6","7"
"ELLENWOOD DIALYSIS CENTER","112847","-","209 BENNETTE BLVD","ELLENWOOD","GA","30294","6","KT/V COMPREHENSIVE","  96.58%","7","-","6","7"
"DARIEN DIALYSIS","112848","-","5873 HWY 17 NORTH","DARIEN","GA","31305","6","KT/V COMPREHENSIVE","  98.19%","9","-","6","7"
"FRESENIUS MEDICAL CARE ACWORTH","112849","-","3372 ACWORTH SUMMIT BLVD","ACWORTH","GA","30101","6","KT/V COMPREHENSIVE","  94.06%","4","-","6","7"
"RELIANT RENAL CARE GEORGIA, LLC","112850","-","1720 POWDER SPRINGS RD","MARIETTA","GA","30064","6","KT/V COMPREHENSIVE","  95.66%","6","-","6","7"
"BUCKHEAD HOME TRAINING","112851","-","1575 NORTHSIDE DR, NW","ATLANTA","GA","30318","6","KT/V COMPREHENSIVE","  96.01%","6","-","6","7"
"TOTAL RENAL CARE INC","112852","-","540 CENTRAL AVENUE","ATLANTA","GA","30312","6","KT/V COMPREHENSIVE","  89.63%","0","-","6","7"
"KIDNEY CENTER OF NORTH GEORGIA, LLC","112853","-","102 ERLANGER SOUTH DRIVE","RINGGOLD","GA","30736","6","KT/V COMPREHENSIVE","  87.36%","0","-","6","7"
"LAKE HARTWELL DIALYSIS","112854","-","1065 E. FRANKLIN STREET","HARTWELL","GA","30643","6","KT/V COMPREHENSIVE","  98.09%","9","-","6","7"
"MCDUFFIE DIALYSIS","112855","-","621 MCNEIL CIRCLE","THOMSON","GA","30824","6","KT/V COMPREHENSIVE","  98.96%","10","-","6","7"
"BURNEY DIALYSIS, LLC","112857","-","401 NORTHSIDE DRIVE","VALDOSTA","GA","31602","6","KT/V COMPREHENSIVE","  98.91%","10","-","6","7"
"TROUP COUNTY DIALYSIS","112858","-","140 GLENN BASS ROAD","LAGRANGE","GA","30240","6","KT/V COMPREHENSIVE","  98.61%","10","-","6","7"
"SAVANNAH GATEWAY","112859","-","5973 OGEECHEE ROAD","SAVANNAH","GA","31419","6","KT/V COMPREHENSIVE","  93.74%","4","-","6","7"
"DSI CONYERS, LLC","112861","-","1927 HIGHWAY 138 NORTH","CONYERS","GA","30013","6","KT/V COMPREHENSIVE","  97.40%","8","-","6","7"
"FRESENIUS MEDICAL CARE BERKELEY LAKE, LLC","112862","-","3870 PEACHTREE INDUSTRIAL BOULEVARD NW","DULUTH","GA","30096","6","KT/V COMPREHENSIVE","  97.14%","8","-","6","7"
"PARKER DIALYSIS, LLC","112863","-","225 PLAZA DRIVE","MONROE","GA","30655","6","KT/V COMPREHENSIVE","  96.15%","7","-","6","7"
"DSI KENNESAW LLC","112864","-","1925 VAUGHN ROAD SUITE 150","KENNESAW","GA","30144","6","KT/V COMPREHENSIVE","No Rate","No Score","1","6","7"
"RENAL CAREPARTNERS OF GRIFFIN LLC","112865","-","1837 WEST MCINTOSH ROAD","GRIFFIN","GA","30223","6","KT/V COMPREHENSIVE","  98.93%","10","-","6","7"
"TURNER HILL DIALYSIS","112866","-","7301 STONECREST CONCOURSE","LITHONIA","GA","30038","6","KT/V COMPREHENSIVE","  95.70%","6","-","6","7"
"SEMINOLE DIALYSIS, LLC","112867","-","76 HIGHLAND PAVILION COURT","HIRAM","GA","30141","6","KT/V COMPREHENSIVE","  95.94%","6","-","6","7"
"BIO-MEDICAL APPLICATIONS OF GEORGIA,LLC","112868","-","150 GENTILLY BOULEVARD","CARTERSVILLE","GA","30120","6","KT/V COMPREHENSIVE","  93.50%","3","-","6","7"
"GOLDENDALE DIALYSIS, LLC","112869","-","1200 BROOKSTONE CENTRE PARKWAY SUITE 111","COLUMBUS","GA","31904","6","KT/V COMPREHENSIVE","  97.26%","8","-","6","7"
"OSAGE DIALYSIS LLC","112870","-","6225 ATLANTA HIGHWAY SUITE 117","ALPHARETTA","GA","30004","6","KT/V COMPREHENSIVE","  97.99%","9","-","6","7"
"INNOVATIVE DIALYSIS CENTERS OF LA GRANGE, LLC","112871","-","1300 LAFAYETTE PKWY SUITE E","LAGRANGE","GA","30241","6","KT/V COMPREHENSIVE","  85.85%","1","-","6","7"
"LAPHAM DIALYSIS, LLC","112872","-","449 INDUSTRIAL BOULEVARD","ELLIJAY","GA","30540","6","KT/V COMPREHENSIVE","  98.59%","10","-","6","7"
"HEPHZIBAH DIALYSIS CLINIC LLC","112874","-","2516 TOBACCO RD","HEPHZIBAH","GA","30815","6","KT/V COMPREHENSIVE","  99.68%","10","-","6","7"
"TOTAL RENAL CARE, INC.","112875","-","5615 OLD NATIONAL HWY","ATLANTA","GA","30349","6","KT/V COMPREHENSIVE","  96.61%","7","-","6","7"
"TOTAL RENAL CARE, INC","112876","-","2401 SHELBY STREET","COLUMBUS","GA","31903","6","KT/V COMPREHENSIVE","  98.03%","9","-","6","7"
"TOTAL RENAL CARE, INC.","112877","-","2540 FLAT SHOALS ROAD","ATLANTA","GA","30349","6","KT/V COMPREHENSIVE","  96.76%","8","-","6","7"
"DIALYSIS CLINIC, INC. - CAMP CREEK","112878","-","3492 WASHINGTON ROAD","ATLANTA","GA","30344","6","KT/V COMPREHENSIVE","  91.53%","1","-","6","7"
"FRESENIUS MEDICAL CARE - CHAPEL HILL","112879","-","3138 GOLF RIDGE BOULEVARD","DOUGLASVILLE","GA","30135","6","KT/V COMPREHENSIVE","  85.80%","7","-","6","7"
"CARLSBAD DIALYSIS LLC","112880","-","1275 CLEVELAND AVE 1ST FL","ATLANTA","GA","30344","6","KT/V COMPREHENSIVE","  95.17%","5","-","6","7"
"TOTAL RENAL CARE INC","112881","-","4130 WHITEHOUSE PKWY","WARM SPRINGS","GA","31830","6","KT/V COMPREHENSIVE","  94.86%","5","-","6","7"
"USRC VOLDOSTA HOME PROGRAM, LLC","112882","-","3564 N. CROSSING CIRCLE SUITE B","VALDOSTA","GA","31602","6","KT/V COMPREHENSIVE","  91.60%","2","-","6","7"
"SHONE DIALYSIS, LLC","112883","-","10132 CARLIN AVENUE","COVINGTON","GA","30014","6","KT/V COMPREHENSIVE","  97.45%","8","-","6","7"
"EMORY DIALYSIS, LLC","112884","-","5673 PEACHTREE DUNWOODY ROAD SUITE 501","ATLANTA","GA","30342","6","KT/V COMPREHENSIVE","  97.87%","9","-","6","7"
"TOTAL RENAL CARE, INC.","112885","-","1432 E FORSYTH ST","AMERICUS","GA","31709","6","KT/V COMPREHENSIVE","  99.43%","10","-","6","7"
"ATHENS RENAL CENTER, LLC","112886","-","2047 PRINCE AVENUE SUITE A","ATHENS","GA","30606","6","KT/V COMPREHENSIVE","  97.84%","9","-","6","7"
"GEORGIA KIDNEY INSTITUTE, LLC","112887","-","1625 HARDEMAN AVENUE","MACON","GA","31201","6","KT/V COMPREHENSIVE","  68.77%","0","-","6","7"
"BIO-MEDICAL APPLICATIONS OF GEORGIA, INC.","112888","-","315 W. 10TH STREET, NE SUITE 105","ROME","GA","30165","6","KT/V COMPREHENSIVE","  84.73%","0","-","6","7"
"FRESENIUS MEDICAL CARE BRASELTON, LLC","112889","-","2349 SPARTA WAY","BUFORD","GA","30519","6","KT/V COMPREHENSIVE","  98.85%","10","-","6","7"
"INNOVATIVE HOME DIALYSIS OF GEORGIA, LLC","112890","-","3753 MARIETTA HIGHWAY SUITE 100","CANTON","GA","30114","6","KT/V COMPREHENSIVE","  82.90%","4","-","6","7"
"BAYSHORE DIALYSIS LLC","112891","-","540 E OGLETHORPE AVE","SAVANNAH","GA","31401","6","KT/V COMPREHENSIVE","  95.16%","5","-","6","7"
"TOTAL RENAL CARE, INC.","112892","-","521 STANLEY K. TANGER BLVD.","LOCUST GROVE","GA","30248","6","KT/V COMPREHENSIVE","  93.56%","3","-","6","7"
"USRC WINDER, LLC","112893","-","429 LOGANVILLE HIGHWAY","WINDER","GA","30680","6","KT/V COMPREHENSIVE","  92.79%","3","-","6","7"
"NEPHRON CORPORATION","112894","-","4585 NELSON BROGDON BLVD","BUFORD","GA","30518","6","KT/V COMPREHENSIVE","  74.03%","0","-","6","7"
"WARNER ROBINS DIALYSIS CENTER, LLC","112895","-","105 TOMMY STALNAKER DRIVE","WARNER ROBINS","GA","31088","6","KT/V COMPREHENSIVE","  97.03%","8","-","6","7"
"BIO-MEDICAL APPLICATIONS OF GEORGIA, INC.","112896","-","2450 MT. ZION PARKWAY","JONESBORO","GA","30236","6","KT/V COMPREHENSIVE","  95.30%","6","-","6","7"
"FRESENIUS MEDICAL CARE JONESBORO, LLC","112897","-","8060 SUMMIT BUSINESS PARKWAY","JONESBORO","GA","30236","6","KT/V COMPREHENSIVE","  96.98%","8","-","6","7"
"MILLER DIALYSIS","112898","-","213 DELORES STREET","COLQUITT","GA","39837","6","KT/V COMPREHENSIVE","  95.61%","7","-","6","7"
"MACON SOUTHSIDE DIALYSIS CENTER, LLC","112899","-","2101-2121 EISENHOWER PARKWAY SUITE 2117","MACON","GA","31206","6","KT/V COMPREHENSIVE","  97.03%","8","-","6","7"
"BROOKS COUNTY DIALYSIS FACILITY","113500","-","101 E DAVIS STREET","QUITMAN","GA","31643","6","KT/V COMPREHENSIVE","No Rate","No Score","1","6","7"
"DECATUR COUNTY DIALYSIS CENTER","113501","-","700 GORDON AVENUE","BAINBRIDGE","GA","39819","6","KT/V COMPREHENSIVE","  81.48%","0","-","6","7"
"DSI WAHIAWA DIALYSIS CENTER","122500","-","850 KILANI AVENUE","WAHIAWA","HI","96786","17","KT/V COMPREHENSIVE","  97.88%","9","-","8","7"
"DSI HONOLULU DIALYSIS CENTER","122501","-","226 N. KUAKINI ST","HONOLULU","HI","96817","17","KT/V COMPREHENSIVE","  96.56%","7","-","8","7"
"DSI - WINDWARD DIALYSIS CENTER","122502","-","45-480 KANEOHE BAY DRIVE #D09","KANEOHE","HI","96744","17","KT/V COMPREHENSIVE","  97.50%","8","-","8","7"
"DSI ALOHA DIALYSIS CENTER","122503","-","1520 LILIHA STREET, SUITE 101","HONOLULU","HI","96817","17","KT/V COMPREHENSIVE","  98.42%","9","-","8","7"
"FMC LANAI COMMUNITY DIALYSIS CENTER","122506","-","628 SEVENTH STREET","LANAI CITY","HI","96763","17","KT/V COMPREHENSIVE","  99.02%","10","-","8","7"
"HILO DIALYSIS","122507","-","1384 KINOOLE STREET BIG ISLAND","HILO","HI","96720","17","KT/V COMPREHENSIVE","  97.78%","9","-","8","7"
"DSI - KAPOLEI DIALYSIS CENTER","122508","-","555 FARRINGTON HIGHWAY","KAPOLEI","HI","96707","17","KT/V COMPREHENSIVE","  94.89%","5","-","8","7"
"DSI - PEARLRIDGE DIALYSIS CENTER","122509","-","98-1005 MOANALUA ROAD, SUITE 420 ISLAND OF OAHU","AIEA","HI","96701","17","KT/V COMPREHENSIVE","  96.59%","7","-","8","7"
"MAUI DIALYSIS FACILITY","122510","-","105 MAUI LANI PARKWAY ISLAND OF MAUI","WAILUKU","HI","96793","17","KT/V COMPREHENSIVE","  98.03%","9","-","8","7"
"KAUAI DIALYSIS FACILITY","122511","-","3224 ELUA STREET","LIHUE","HI","96766","17","KT/V COMPREHENSIVE"," 100.00%","10","-","8","7"
"LEEWARD DIALYSIS FACILITY","122512","-","91-2137 FORT WEAVER ROAD","EWA BEACH","HI","96706","17","KT/V COMPREHENSIVE","  99.56%","10","-","8","7"
"KONA DIALYSIS","122513","-","78-6831 ALII DRIVE SUITE 336","KAILUA KONA","HI","96740","17","KT/V COMPREHENSIVE","  94.94%","5","-","8","7"
"WAIANAE DIALYSIS","122514","-","86-080 FARRINGTON HIGHWAY SUITE 101","WAIANAE","HI","96792","17","KT/V COMPREHENSIVE","  98.36%","9","-","8","7"
"KAHANA DIALYSIS","122515","-","10 HOOHUI ROAD SUITE 100 ISLAND OF MAUI","LAHAINA","HI","96761","17","KT/V COMPREHENSIVE","  99.78%","10","-","8","7"
"WEST KAUAI DIALYSIS","122516","-","4643 A WAIMEA CANYON ROAD","WAIMEA","HI","96796","17","KT/V COMPREHENSIVE","  99.73%","10","-","8","7"
"MOLOKAI DIALYSIS FACILITY","122517","-","28 KAMOI STREET SUITE 400","KAUNAKAKAI","HI","96748","17","KT/V COMPREHENSIVE","  97.64%","8","-","8","7"
"SIEMSEN DIALYSIS FACILITY","122518","-","2226 LILIHA  STREET SUITE 226","HONOLULU","HI","96817","17","KT/V COMPREHENSIVE","  97.74%","9","-","8","7"
"NORTH HAWAII DIALYSIS","122519","-","67-1123 MAMALAHOA HIGHWAY #112","KAMUELA","HI","96743","17","KT/V COMPREHENSIVE","  99.38%","10","-","8","7"
"KAIMUKI DIALYSIS","122520","-","3625 HARDING AVENUE","HONOLULU","HI","96816","17","KT/V COMPREHENSIVE","  99.53%","10","-","8","7"
"DSI KAPAHULU DIALYSIS CENTER","122521","-","750 PALANI AVENUE","HONOLULU","HI","96816","17","KT/V COMPREHENSIVE","  99.43%","10","-","8","7"
"WAIPAHU DIALYSIS","122522","-","94-450 MOKUOLA STREET #109","WAIPAHU","HI","96797","17","KT/V COMPREHENSIVE","  96.85%","7","-","8","7"
"DSI KOOLAU DIALYSIS CENTER","122523","-","47-388 HUI IWA STREET","KANEOHE","HI","96744","17","KT/V COMPREHENSIVE","  97.14%","8","-","8","7"
"LIBERTY DIALYSIS HAWAII KAILUA DIALYSIS FACILITY","122524","-","25 KANEOHE BAY DRIVE","KAILUA","HI","96734","17","KT/V COMPREHENSIVE","  98.82%","10","-","8","7"
"DSI WAIPAHU DIALYSIS","122525","-","94-862 KAHUAILANI STREET","WAIPAHU","HI","96797","17","KT/V COMPREHENSIVE","  96.52%","7","-","8","7"
"RAINBOW DIALYSIS","122526","-","80 MAHALANI ST., STE 100","WAILUKU","HI","96793","17","KT/V COMPREHENSIVE","  96.36%","7","-","8","7"
"LIBERTY DIALYSIS HAWAII","122527","-","7192 KALANIANAOLE HWY SUITE Q-101","HONOLULU","HI","96825","17","KT/V COMPREHENSIVE","  98.47%","9","-","8","7"
